id,name,cfu
1072,"eius provident sapiente",12
1073,"quaerat in ut",11
1074,"ut quo ducimus",11
1075,"et occaecati eius",13
1077,"sit assumenda ut",15
1079,"enim quae quos",13
1080,"distinctio rerum dolor",14
1082,"et earum tenetur",14
1085,"et enim occaecati",15
1088,"iusto consequatur quae",13
1089,"sequi temporibus aut",15
1090,"ea eos dolor",13
1098,"voluptatem repudiandae rerum",15
1101,"eos est dolor",11
1102,"architecto atque dolorem",12
1110,"enim voluptate perferendis",15
1114,"voluptas hic laboriosam",11
1116,"soluta alias fugiat",14
1119,"aut debitis nesciunt",14
1122,"ex perspiciatis blanditiis",12
1125,"porro illo ea",13
1131,"facere explicabo quam",15
1134,"ullam ducimus architecto",15
1135,"sunt culpa id",11
1136,"vel ipsa eos",14
1137,"ut qui reiciendis",14
1139,"et eius occaecati",14
1141,"porro autem cumque",12
1143,"ex quaerat commodi",13
1146,"omnis quibusdam et",15
1148,"autem tempora ipsa",11
1152,"corporis harum maxime",11
1154,"in blanditiis dolorum",13
1157,"consequatur fugiat quia",13
1160,"quos pariatur aliquid",12
1161,"culpa nulla aut",13
1162,"aliquam molestias sit",12
1165,"consequuntur aut pariatur",15
1166,"et deserunt vitae",11
1167,"enim cupiditate laudantium",13
1170,"dolores dolor voluptas",15
1172,"ut quis illo",11
1173,"consequatur aperiam illo",12
1175,"consequatur in ratione",11
1176,"accusantium aut dicta",12
1177,"iure alias at",12
1178,"quia error voluptates",11
1180,"quas est repellat",14
1181,"consequatur occaecati illo",11
1191,"eum et saepe",11
1192,"ipsa quas quia",11
1195,"facilis magnam rem",12
1198,"necessitatibus consequatur aperiam",13
1207,"magnam voluptatem harum",11
1208,"rerum et qui",15
1209,"ex totam sint",12
1212,"vel velit non",15
1218,"quas cum vel",13
1219,"nostrum atque ipsa",11
1222,"consequatur architecto consequatur",13
1224,"eaque dolores est",13
1228,"eius eum itaque",12
1229,"sunt consequatur soluta",13
1234,"nihil consectetur ex",12
1240,"eveniet qui cumque",15
1244,"molestiae aut sit",12
1245,"incidunt aperiam qui",12
1248,"aut dolorum distinctio",14
1251,"fugit distinctio quibusdam",14
1252,"autem possimus illum",14
1256,"officia cumque tempore",15
1261,"voluptas sit aliquam",11
1263,"amet itaque fugit",12
1267,"doloribus debitis eveniet",11
1274,"adipisci ut quis",12
1277,"voluptas corporis recusandae",12
1278,"unde at voluptas",11
1280,"exercitationem ea omnis",14
1282,"accusantium tempora vel",11
1284,"praesentium mollitia rerum",15
1285,"qui sapiente voluptatem",14
1289,"quia non rerum",15
1290,"reiciendis dolorum labore",13
1291,"laboriosam aperiam ut",12
1293,"et fugit occaecati",15
1295,"repudiandae amet similique",14
1297,"debitis est saepe",11
1300,"molestiae distinctio quis",14
1303,"quaerat in qui",11
1304,"minus expedita et",12
1305,"consectetur aut est",14
1307,"unde commodi qui",14
1309,"porro et aut",14
1313,"qui vitae molestias",14
1314,"enim unde dolorem",12
1317,"sit amet voluptatum",13
