id,name,period,year
279,"distinctio quo praesentium","I semestre",1
280,"rerum sint voluptates","I semestre",1
281,"nihil vero voluptas","I semestre",1
299,"inventore reiciendis deserunt","I semestre",1
300,"aut ullam pariatur","I semestre",1
301,"fugit molestiae earum","I semestre",1
302,"nisi illum vitae","I semestre",1
316,"est magni explicabo","I semestre",1
317,"hic omnis dolore","I semestre",1
318,"non occaecati voluptatem","I semestre",1
319,"adipisci aliquam dolorum","I semestre",1
338,"est ab ratione","I semestre",1
339,"natus et hic","I semestre",1
340,"omnis rerum tenetur","I semestre",1
341,"officiis corrupti et","I semestre",1
359,"impedit nobis exercitationem","I semestre",1
360,"ex vero sunt","I semestre",1
361,"vel ut corporis","I semestre",1
362,"ut ea officia","I semestre",1
378,"officia dolor a","I semestre",1
379,"nisi error temporibus","I semestre",1
380,"ut fuga sapiente","I semestre",1
381,"eligendi corrupti tempore","I semestre",1
400,"est accusantium vitae","I semestre",1
401,"ipsa omnis temporibus","I semestre",1
402,"reprehenderit numquam et","I semestre",1
403,"qui quibusdam accusantium","I semestre",1
412,"ipsum dolor suscipit","I semestre",1
413,"est atque et","I semestre",1
414,"fugit debitis sapiente","I semestre",1
415,"iure impedit iusto","I semestre",1
416,"quia aspernatur dolorum","I semestre",1
428,"ducimus numquam rerum","I semestre",1
429,"unde voluptas delectus","I semestre",1
430,"et officia sunt","I semestre",1
440,"vel deleniti tempore","I semestre",1
441,"laboriosam ut iusto","I semestre",1
442,"consequatur ea ipsam","I semestre",1
443,"tenetur et itaque","I semestre",1
455,"minima est et","I semestre",1
456,"dolores facilis aliquid","I semestre",1
457,"sequi saepe iure","I semestre",1
466,"ipsam sed rem","I semestre",1
467,"vel beatae illum","I semestre",1
468,"et non molestiae","I semestre",1
486,"sapiente nihil et","I semestre",1
487,"aliquam voluptas reiciendis","I semestre",1
488,"minus facilis accusantium","I semestre",1
508,"voluptatibus dicta odit","I semestre",1
509,"amet dicta et","I semestre",1
510,"sit ipsum accusamus","I semestre",1
519,"distinctio numquam illum","I semestre",1
520,"ducimus sapiente at","I semestre",1
521,"et est porro","I semestre",1
522,"quos voluptatem quis","I semestre",1
536,"culpa quis expedita","I semestre",1
537,"aut enim nesciunt","I semestre",1
538,"voluptas nihil nesciunt","I semestre",1
539,"aut dolores ut","I semestre",1
540,"laboriosam fugit et","I semestre",1
559,"est aut qui","I semestre",1
560,"quibusdam nobis architecto","I semestre",1
561,"dolore enim eius","I semestre",1
577,"ut veritatis magnam","I semestre",1
578,"distinctio deleniti minus","I semestre",1
579,"dolor ab possimus","I semestre",1
580,"eius animi atque","I semestre",1
581,"est magni quos","I semestre",1
601,"facilis adipisci provident","I semestre",1
602,"totam illo non","I semestre",1
603,"dolor ea voluptatem","I semestre",1
622,"aperiam ut suscipit","I semestre",1
623,"dolorem voluptatem consequuntur","I semestre",1
624,"eaque vero sapiente","I semestre",1
625,"necessitatibus aut quis","I semestre",1
634,"et assumenda nihil","I semestre",1
635,"ex molestiae rerum","I semestre",1
636,"quam voluptatem nihil","I semestre",1
637,"labore sequi incidunt","I semestre",1
638,"qui doloremque dolorem","I semestre",1
650,"necessitatibus voluptas ut","I semestre",1
651,"deleniti nesciunt amet","I semestre",1
652,"velit esse soluta","I semestre",1
653,"tempore quod eum","I semestre",1
671,"qui quasi recusandae","I semestre",1
672,"incidunt et velit","I semestre",1
673,"est in officia","I semestre",1
674,"reiciendis totam quis","I semestre",1
694,"error nobis similique","I semestre",1
695,"dolor optio non","I semestre",1
696,"architecto accusamus dolores","I semestre",1
715,"adipisci ut suscipit","I semestre",1
716,"nemo esse placeat","I semestre",1
717,"magnam aut repellat","I semestre",1
718,"facere sit est","I semestre",1
719,"molestias autem similique","I semestre",1
735,"perspiciatis itaque rerum","I semestre",1
736,"ratione placeat vel","I semestre",1
737,"quis asperiores rem","I semestre",1
738,"saepe laudantium quia","I semestre",1
739,"et vero aspernatur","I semestre",1
757,"illum est ea","I semestre",1
758,"commodi esse voluptas","I semestre",1
759,"et nesciunt fugit","I semestre",1
760,"cumque omnis ullam","I semestre",1
780,"provident aspernatur aliquid","I semestre",1
781,"magni in perferendis","I semestre",1
782,"enim odit debitis","I semestre",1
783,"eligendi est rerum","I semestre",1
784,"sed nostrum consequuntur","I semestre",1
798,"odio et sed","I semestre",1
799,"ipsam qui quo","I semestre",1
800,"commodi praesentium repudiandae","I semestre",1
817,"aperiam nostrum sint","I semestre",1
818,"illo delectus repellendus","I semestre",1
819,"dolorum quos eum","I semestre",1
820,"rerum sed animi","I semestre",1
837,"labore tempora odit","I semestre",1
838,"quia omnis et","I semestre",1
839,"non rerum molestiae","I semestre",1
840,"sit aut aliquam","I semestre",1
841,"consequatur rerum asperiores","I semestre",1
858,"voluptatem consectetur voluptas","I semestre",1
859,"consequatur eius et","I semestre",1
860,"nihil in rem","I semestre",1
878,"sed est autem","I semestre",1
879,"nobis nesciunt fugit","I semestre",1
880,"eum pariatur quia","I semestre",1
893,"dolorem blanditiis nemo","I semestre",1
894,"veniam occaecati et","I semestre",1
895,"quia mollitia voluptates","I semestre",1
896,"excepturi blanditiis fugiat","I semestre",1
909,"sequi ut libero","I semestre",1
910,"est cum explicabo","I semestre",1
911,"iusto quibusdam et","I semestre",1
912,"est id hic","I semestre",1
913,"deleniti et consectetur","I semestre",1
927,"ullam voluptatem facere","I semestre",1
928,"et rem natus","I semestre",1
929,"error odio enim","I semestre",1
930,"quasi occaecati nulla","I semestre",1
941,"sint quam unde","I semestre",1
942,"nobis delectus veritatis","I semestre",1
943,"cupiditate dolor et","I semestre",1
963,"est omnis possimus","I semestre",1
964,"consequatur est numquam","I semestre",1
965,"provident nemo est","I semestre",1
978,"nihil omnis et","I semestre",1
979,"voluptatem perferendis repellendus","I semestre",1
980,"unde architecto pariatur","I semestre",1
981,"dolor quia ex","I semestre",1
982,"eveniet rerum minima","I semestre",1
993,"commodi laboriosam cumque","I semestre",1
994,"sit sint eveniet","I semestre",1
995,"amet quod repudiandae","I semestre",1
996,"voluptas dolores quos","I semestre",1
1006,"et eos optio","I semestre",1
1007,"rerum deserunt eaque","I semestre",1
1008,"iusto fuga et","I semestre",1
1009,"cupiditate ullam earum","I semestre",1
1021,"nobis aut voluptas","I semestre",1
1022,"autem aut occaecati","I semestre",1
1023,"perspiciatis magnam dolores","I semestre",1
1039,"sint et perferendis","I semestre",1
1040,"iusto sed quas","I semestre",1
1041,"at dolorem temporibus","I semestre",1
1042,"doloribus iusto quia","I semestre",1
1056,"numquam aspernatur nesciunt","I semestre",1
1057,"nihil ipsa et","I semestre",1
1058,"ipsam sit ut","I semestre",1
1059,"consequatur et eum","I semestre",1
1078,"voluptas consequatur sit","I semestre",1
1079,"enim quae quos","I semestre",1
1080,"distinctio rerum dolor","I semestre",1
1081,"perspiciatis fuga praesentium","I semestre",1
1092,"libero eius cum","I semestre",1
1093,"magni vitae exercitationem","I semestre",1
1094,"excepturi vero ad","I semestre",1
1103,"ducimus voluptatibus asperiores","I semestre",1
1104,"consequatur ut architecto","I semestre",1
1105,"porro suscipit incidunt","I semestre",1
1116,"soluta alias fugiat","I semestre",1
1117,"doloremque aut nihil","I semestre",1
1118,"consectetur eos voluptatum","I semestre",1
1129,"rerum dolor quia","I semestre",1
1130,"reprehenderit occaecati eum","I semestre",1
1131,"facere explicabo quam","I semestre",1
1142,"quidem deleniti omnis","I semestre",1
1143,"ex quaerat commodi","I semestre",1
1144,"tempore voluptates eaque","I semestre",1
1159,"alias voluptates dignissimos","I semestre",1
1160,"quos pariatur aliquid","I semestre",1
1161,"culpa nulla aut","I semestre",1
1162,"aliquam molestias sit","I semestre",1
1182,"alias explicabo amet","I semestre",1
1183,"at exercitationem libero","I semestre",1
1184,"molestias animi vel","I semestre",1
1195,"facilis magnam rem","I semestre",1
1196,"quae inventore voluptatem","I semestre",1
1197,"voluptas dicta qui","I semestre",1
1217,"et provident culpa","I semestre",1
1218,"quas cum vel","I semestre",1
1219,"nostrum atque ipsa","I semestre",1
1220,"minus consequatur culpa","I semestre",1
1242,"dolor error porro","I semestre",1
1243,"earum repellat et","I semestre",1
1244,"molestiae aut sit","I semestre",1
1245,"incidunt aperiam qui","I semestre",1
1258,"eos quisquam dolores","I semestre",1
1259,"magni magni omnis","I semestre",1
1260,"rerum molestiae provident","I semestre",1
1261,"voluptas sit aliquam","I semestre",1
1273,"porro cupiditate qui","I semestre",1
1274,"adipisci ut quis","I semestre",1
1275,"quidem vero eaque","I semestre",1
1276,"impedit vitae laboriosam","I semestre",1
1287,"reprehenderit rerum eaque","I semestre",1
1288,"quia totam sunt","I semestre",1
1289,"quia non rerum","I semestre",1
1290,"reiciendis dolorum labore","I semestre",1
1303,"quaerat in qui","I semestre",1
1304,"minus expedita et","I semestre",1
1305,"consectetur aut est","I semestre",1
1306,"distinctio rem quis","I semestre",1
1307,"unde commodi qui","I semestre",1
